"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/refs_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/refs.csv?datainfo&rowcount&base_name=brachiopoda&select=taxonomy"
"Access Time","Tue 2017-11-07 07:33:38 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","brachiopoda"
"","ref_type","taxonomy"
"","taxon_status","all"
"Elapsed Time","1.46"
"Records Found","1982"
"Records Returned","1982"
"Records:"
"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
"11298","ref","auth,class","H. L.","Abbass","","","","1972","Paleontological studies of some Saudi Arabian lower Tertiary fossils","Egyptian Journal of Geology","","16","1","35","68","journal article","",""
"34459","ref","auth,class","E.","Abbate","G.","Ficcarelli","C. Pirini Radrizzani, A. Salvietti, D. Torre, A. Turi","1974","Jurassic sequences from the Somali coast of the Gulf of Aden","Rivista Italiana di Paleontologia e Stratigrafia","","80","3","409","478","journal article","English",""
"487","ref","auth,class","M.","Aberhan","","","","1992","Palokologie und zeitliche Verbreitung benthischer Faunengemeinschaften im Unterjura von Chile","Beringeria","","5","","1","174","","German",""
"27345","ref","auth,class","B.C.","Abramov","A.D.","Grigorieva","","1988","","Biostratigraphiya i Brakhiopody Permi Verkhoyaniya","","","","1","204","book/book chapter","Russian",""
"32211","ref","auth,class","M. H.","Adabi","D. V.","Ager","","1997","Late Jurassic brachiopods from north-east Iran","Palaeontology","","40","2","355","362","journal article","English",""
"13703","ref","auth,class","G. A.","Afanasjeva","","","","2004","New Chonetids (Brachiopods) from the Upper Permian Ufimian Stage of the Kanin Peninsula","Paleontological Journal","","38","","35","38","journal article","English",""
"13719","ref","auth,class","G. A.","Afanasjeva","","","","2004","New Permian Chonetids (Brachiopods) from Mongolia","Paleontological Journal","","38","2","162","165","journal article","English",""
"27461","ref","auth,class","G. A.","Afanasjeva","","","","1977","Permochonetes n. gen. (Brachiopoda) from the Lower Permian of the Pamirs","Paleontological Journal","","11","","138","141","journal article","English",""
"27463","ref","auth,class","G. A.","Afanasjeva","","","","2000","A new genus Pinegochonetes (Brachiopoda, Chonetida) from the Kazanian of the Russian platform","Paleontological Journal","","34","3","287","289","journal article","English",""
"33424","ref","auth,class","G. A.","Afanasjeva","","","","1981","A revision of the genus Chonetina (Brachiopoda)","Paleontological Journal","","15","","36","41","journal article","English",""
"35380","ref","auth,class","G. A.","Afanasjeva","","","","2011","New Late Permian chonetids (Brachiopoda) from southeastern Pamirs","Paleontological Journal","","45","1","35","39","journal article","English",""
"37469","ref","auth,class","G. A.","Afanasjeva","","","","1991","Chonetidina descriptions","Permian Invertebrates of Southern Mongolia","","","","95","99","book/book chapter","Russian",""
"37658","ref","auth,class","G. A.","Afanasjeva","","","","1977","Suborder Chonetidina, in Pozdnepaleozoyskie produktidy Sibiri i Arktiki","Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta","","161","","5","41","journal article","Russian",""
"40140","ref","auth,class","G. A.","Afanasjeva","","","","2008","New Middle Carboniferous Genus Neotornquistia (Brachiopoda, Chonetida) from the Moscow Syneclise","Paleontological Journal","","42","","260","264","journal article","English",""
"36424","ref","auth,class","G. A.","Afanasjeva","H.","Ishiga","J. I. Tazawa","2011","New Species of Fanichonetes Xu et Grant (Brachiopoda, Chonetida) from the Lower Permian of South Korea","Paleontological Journal","","45","3","266","269","journal article","English",""
"33423","ref","auth,class","G. A.","Afanasjeva","J.","Tazawa","","2007","A new large chonetid (Brachiopoda) from the Middle Permian of the southern Kitakami Mountains, northeast Japan","Paleontological Journal","","41","","424","428","journal article","English",""
"33950","ref","auth,class","G. A.","Afanasjeva","J.","Tazawa","","2010","New Genus Kanokurachonetes (Brachiopoda, Chonetida) from the Middle Permian of the Southern Kitakami Mountains, Northeast Japan","Paleontological Journal","","44","1","16","20","journal article","English",""
"54230","ref","auth,class","G. A.","Afanasjeva","J. I.","Tazawa","T. Shintani","2015","Brachiopods of the order Chonetida from the Lower and Middle Permian of the South Kitakami Mountains, northeast Japan","Paleontological Journal","","49","","19","25","journal article","English",""
"27462","ref","auth,class","G. A.","Afanasyeva","","","","1988","New chonetids (brachiopods) from the Permian deposits of Verkhoyan","Paleontological Journal","","22","2","108","112","journal article","English",""
"43596","ref","class","D. V.","Ager","","","","1960","Proposed use of the Plenary powers to designate Rhynchonella refractifrons Bittner, 1890, as the type-species of the nominal genus Norella Bittner, 1890 (Phylum Brachiopoda, class Articulata)","Bulletin of Zoological Nomenclature","","17","","349","350","journal article","English",""
"44184","ref","auth,class","D. V.","Ager","","","","1954","The genus Gibbirhynchia in the British Domerian","Proceedings of the Geologists' Association","","65","","25","51","journal article","English",""
"44185","ref","auth,class","D. V.","Ager","","","","1956","Some new Liassic terebratuloids","Proceedings of the Geologists' Association","","67","","1","14","journal article","English",""
"49089","ref","auth,class","D. V.","Ager","","","","1964","Further New Rhynchonelloid Brachiopods from the Texas Cretaceous","Journal of Paleontology","","38","1","109","112","journal article","English",""
"51917","ref","auth,class","D. V.","Ager","","","","1971","The Brachiopods of the Erratic Blocks of Spilsby Sandstone in Norfolk and Suffolk","Proceedings of the Geologists' Association","","82","","393","401","journal article","English",""
"52035","ref","auth,class","D. V.","Ager","","","","1959","Lower Jurassic Brachiopods From Turkey","Journal of Paleontology","","33","6","1018","1028","journal article","English",""
"52078","ref","auth,class","D. V.","Ager","","","","1956","","A Monograph of the British Liassic Rhynchonellidae, Part I","","","","1","50","journal article","English",""
"52094","ref","auth,class","D. V.","Ager","","","","1958","","A Monograph of the British Liassic Rhynchonellidae, Part II","","","","51","84","serial monograph","English",""
"52103","ref","auth,class","D. V.","Ager","","","","1962","","A Monograph of the British Liassic Rhynchonellidae, Part III","","","","85","136","serial monograph","English",""
"52121","ref","auth,class","D. V.","Ager","","","","1967","","A Monograph of the British Liassic Rhynchonellidae, Part IV","","","","137","172","serial monograph","English",""
"62990","ref","auth,class","D. V.","Ager","","","","1963","Systematic paleontology, in New Cretaceous Brachiopod from Trans-Pecos Texas","Journal of Paleontology","","37","","371","378","journal article","English",""
"42701","ref","auth,class","D. V.","Ager","M.","Gutnic","T. Juteau, O. Monod","1978","New Early Mesozoic brachiopods from southern Turkey","Bulletin of the Mineral Research and Exploration Institute of Turkey","","91","","59","75","journal article","English",""
"28660","ref","class","D. V.","Ager","M.","Minato","","1983","A new Triassic brachiopod fauna from Hokkaido, Japan","Journal of the Faculty of Science, Hokkaido University, IV. series","","20","4","261","273","journal article","English",""
"11644","ref","auth,class","D. V.","Ager","G. E. G.","Westermann","","1963","New Mesozoic Brachiopods From Canada","Journal of Paleontology","","37","3","595","610","journal article","English",""
"3996","ref","auth,class","L. P.","Alberstadt","","","","1973","Articulate brachiopods of the Viola Formation (Ordovician) in the Arbuckle Mountains, Oklahoma","Oklahoma Geological Survey Bulletin","","117","","1","90","journal article","English",""
"61873","ref","class","L. P.","Alberstadt","","","","1979","The brachiopod genus Platystrophia","United States Geological Survey Professional Paper","","1066","B","B1","B20","serial monograph","English",""
"18670","ref","auth,class","T. H.","Aldrich","","","","1911","New Eocene fossils from the southern Gulf states","Bulletins of American Paleontology","","5","22","1","24","serial monograph","English",""
"12267","ref","auth","R. E.","Alekseeva","O. A.","Erlanger","","1983","Novyy kompleks siluriyskikh brakhiopod severo-zapadnoy Mongolii. The new assemblage of silurian brachiopods in the North-West Mongolia.","Trudy - Sovmestnaya Sovetsko-Mongol'skaya Paleontologicheskaya Ekspeditsiya","","20","","25","36","journal article","",""
"55839","ref","auth,class","T. N.","Alikhova","","","","1953","Rukovodyashchaya fauna brakhiopod ordovikskikh otlozhenij severo-sapadnoy chasti russkoj platformy","Trudy Vsesoyusnogo Nauchno-Issledovatel'skogo Geologicheskogo Instituta (VSEBEI) Ministerstva Geologichestii i Okhrany NEDR","","","","1","127","serial monograph","English",""
"43737","ref","auth","Y.","Alméras","","","","1979","Etude morphologique et anatomique de Rhynchonelloidea subangulata (Davidson, 1877) (Brachiopoda, Rhynchonellidae)","Documents des Laboratoires de Géologie de la Faculté des Sciences de Lyon","","76","","3","21","serial monograph","French",""
