stage,variable,mean_value,median_value,min_value,max_value,sd_value,n_points,start_value,end_value,midpoint_value,delta_younger_minus_older,slope_per_myr
Sandbian,Global temperature (GAT),15.83828105,15.7462028,15.206141,16.7343068,0.583062321462835,6,16.7343068,15.263750875,15.73531752,-1.470555925,-0.270820612338858
Katian,Global temperature (GAT),13.5956923157143,14.469686,9.94467571,15.4403037,2.15752717170976,7,15.263750875,9.40422057819999,14.446168382,-5.85953029680001,-0.777126034058355
Hirnantian,Global temperature (GAT),9.294104465,9.294104465,9.26055529,9.32765364,0.0474456982914285,2,9.40422057819999,10.3306911528,9.318259871,0.926470574600021,0.432930175046742
Rhuddanian,Global temperature (GAT),12.3304238666667,12.2696849,10.4061886,14.3153981,1.95531241628451,3,10.3306911528,15.107397755,12.7197418040001,4.77670660219998,1.85143666751938
Aeronian,Global temperature (GAT),16.5142424,16.5142424,15.8683386,17.1601462,0.913445913948319,2,15.107397755,17.550636678,16.462570096,2.44323892300004,1.28591522263158
Telychian,Global temperature (GAT),18.44021325,18.5151353,18.067543,18.7175448,0.286473338965334,6,17.550636678,18.067543,18.714363668,0.516906321999976,0.0913262053003496
Sandbian,Tropical temperature,24.7382810416667,24.66120278,24.23614097,25.47430684,0.472509748376138,6,25.47430684,24.3037508575,24.6527675,-1.1705559825,-0.215572004143646
Katian,Tropical temperature,24.2142637528571,24.50658052,23.25467571,24.65968599,0.525938140606306,7,24.3037508575,23.5358205782,24.6569683728,-0.767930279299993,-0.10184751714854
Hirnantian,Tropical temperature,23.159104465,23.159104465,22.70765364,23.61055529,0.638447879459523,2,23.5358205782,22.8085911807,22.834059871,-0.727229397500008,-0.339826821261688
Rhuddanian,Tropical temperature,23.77042385,23.70968486,22.81618863,24.78539806,0.986008804970775,3,22.8085911807,25.082697715,23.946341764,2.2741065343,0.881436641201554
Aeronian,Tropical temperature,25.914242365,25.914242365,25.36833856,26.46014617,0.772024564782078,2,25.082697715,26.7686366439,25.8705700606,1.68593892890003,0.887336278368419
Telychian,Tropical temperature,27.1352132483333,27.21505339,26.54754296,27.44110013,0.332685705599949,6,26.7686366439,26.54754296,27.3663636576,-0.221093683900019,-0.0390624883215584
Sandbian,Deep-ocean temperature,6.79278826483333,6.6773129315,6.000021428,7.916494158,0.731218457481308,6,7.916494158,6.07226997225,6.66366170184501,-1.84422418575,-0.339636129972375
Katian,Deep-ocean temperature,3.98035773314286,5.076433213,-0.598382192,6.29368487,2.70575482607971,7,6.07226997225,-1.27616697301002,5.04693976826003,-7.34843694526002,-0.974593759318302
Hirnantian,Deep-ocean temperature,-1.4142635905,-1.4142635905,-1.456337611,-1.37218957,0.0595016504146636,2,-1.27616697301002,-0.114280225509991,-1.38397029574,1.16188674750003,0.542937732476652
Rhuddanian,Deep-ocean temperature,2.393584571,2.317411833,-0.019598877,4.882940757,2.45215730128514,3,-0.114280225509991,5.87618752430998,2.88182819628007,5.99046774981997,2.32188672473644
Aeronian,Deep-ocean temperature,7.6405113935,7.6405113935,6.830483438,8.450539349,1.14555252056945,2,5.87618752430998,8.94025345755003,7.57570915706006,3.06406593324005,1.61266628065263
Telychian,Deep-ocean temperature,10.0558714366667,10.14983118,9.588505676,10.40367293,0.35926621450555,6,8.94025345755003,9.588505676,10.3996834772,0.64825221844997,0.114532194072434
Sandbian,Polar temperature,-11.9639573896667,-12.20715215,-13.75901798,-9.466297228,1.63908186975513,6,-9.466297228,-13.5920817225,-12.2380627388,-4.1257844945,-0.759812982412522
Katian,Polar temperature,-18.9006170728571,-15.94167987,-30.97873747,-13.08054378,6.98363537692632,7,-13.5920817225,-32.9670085220001,-16.0144516949999,-19.3749267995001,-2.56961893892573
Hirnantian,Polar temperature,-33.37069894,-33.37069894,-33.49553627,-33.24586161,0.176546645176448,2,-32.9670085220001,-29.5920180435,-33.2808160624,3.37499047850008,1.5770983544393
Rhuddanian,Polar temperature,-22.8761596066667,-22.90314548,-29.31699756,-16.40833578,6.45437320083274,3,-29.5920180435,-14.0885285691,-21.4742873459998,15.5034894743999,6.00910444744187
Aeronian,Polar temperature,-10.0933058735,-10.0933058735,-11.85969419,-8.326917557,2.49805031361168,2,-14.0885285691,-7.31887652885994,-10.2346169388199,6.7696520402401,3.56297475802104
Telychian,Polar temperature,-5.05577477233333,-4.86635088,-5.981706221,-4.370885733,0.710174811968468,6,-7.31887652885994,-5.981706221,-4.37862882884,1.33717030785994,0.236249170999991
Sandbian,Relative sea level,206.336363636364,210.4,181.4,221.5,12.9213213509511,11,216.5,189.8,210.827,-26.7,-4.9171270718232
Katian,Relative sea level,162.4,169.2,71.9,210.4,41.9056082165621,15,189.8,139.32,195.056000000001,-50.4799999999997,-6.69496021220153
Hirnantian,Relative sea level,92.175,79.4,66.8,143.1,34.5260650330539,4,139.32,100.82,69.6279999999997,-38.5000000000001,-17.9906542056076
Rhuddanian,Relative sea level,128.483333333333,131,103.9,142,13.8015095792695,6,100.82,124.778,139.76,23.9579999999999,9.28604651162792
Aeronian,Relative sea level,124.266666666667,113.9,108.9,150,22.4255063116384,3,124.778,160.742000000001,109.3,35.9640000000004,18.9284210526315
Telychian,Relative sea level,161.633333333333,164.1,135,186.1,17.7268329393777,12,160.742000000001,172,143.8,11.2579999999994,1.98904593639566
