stage,hex_id,genus_richness,n_occurrences,n_collections,centroid_lng,centroid_lat
Aeronian,1256,6,6,1,-113.18,3.37
Aeronian,1292,1,1,1,-118.45,-9
Aeronian,1300,15,32,11,-126.35,-17.13
Aeronian,1365,12,23,5,-108.824347826087,-24.9878260869565
Aeronian,1376,1,1,1,-97.47,-19.97
Aeronian,1402,1,2,1,-104.61,-29.71
Aeronian,1403,34,164,45,-97.969756097561,-27.6338414634146
Aeronian,1411,1,1,1,-109.47,-34.84
Aeronian,1414,12,27,8,-87.0381481481482,-22.0088888888889
Aeronian,1462,3,3,2,-65.35,-28.14
Aeronian,1464,1,1,1,-52.1,-20.33
Aeronian,1470,17,21,6,-65.2209523809524,-30.1833333333333
Aeronian,340,1,2,1,-36.61,33.82
Aeronian,472,38,202,34,-60.3844059405941,-20.1830693069307
Aeronian,473,44,138,50,-53.5473188405797,-17.0801449275362
Aeronian,482,17,29,9,-53.988275862069,-17.9668965517241
Aeronian,695,36,46,2,6.79152173913044,-47.5469565217391
Aeronian,850,39,154,64,69.4113857142857,4.01396428571429
Aeronian,860,1,2,2,71.378,5.9499
Aeronian,869,1,1,1,73.2653,5.5546
Hirnantian,1310,3,5,3,-114.13,-11.08
Hirnantian,1346,17,29,4,-117.019655172414,-24.7775862068966
Hirnantian,1355,9,15,4,-121.83,-26.5
Hirnantian,1356,14,37,4,-114.25,-24.9
Hirnantian,1386,22,102,31,-91.9155882352941,-19.7756862745098
Hirnantian,1394,2,2,1,-95.14,-22.45
Hirnantian,1404,32,146,39,-90.7528082191781,-20.1960273972603
Hirnantian,1463,44,349,161,-56.1707163323782,-24.0895415472779
Hirnantian,1464,1,1,1,-48.31,-20.89
Hirnantian,1470,13,15,2,-68.2146666666667,-31.3533333333333
Hirnantian,1471,1,1,1,-59.1,-25.18
Hirnantian,1472,12,20,7,-53.9825,-23.811
Hirnantian,1479,52,219,22,-68.566301369863,-33.834794520548
Hirnantian,1480,1,1,1,-62.18,-29.9
Hirnantian,1491,10,14,2,-51.7985714285714,-28.2471428571429
Hirnantian,463,13,21,5,-62.4033333333333,-19.5661904761905
Hirnantian,481,63,327,65,-61.8632721712538,-24.0077370030581
Hirnantian,482,14,44,26,-55.5840909090909,-21.14
Hirnantian,704,22,31,3,8.49258064516129,-51.9083870967742
Hirnantian,722,23,25,1,8.78,-53.43
Hirnantian,831,3,4,1,66.0691,-4.0859
Hirnantian,841,14,50,10,68.330478,0.997384
Hirnantian,849,29,143,23,69.4625769230769,-2.51373916083916
Hirnantian,850,30,200,38,69.4071105,2.670351
Hirnantian,859,4,4,1,72.259,-0.8169
Hirnantian,860,8,18,3,70.7979,6.8976
Hirnantian,869,1,1,1,73.0518,4.259
Katian,1291,2,2,1,-123.1,-13.21
Katian,1301,4,4,1,-121.82,-13.56
Katian,1302,51,193,8,-114.651658031088,-8.20891191709845
Katian,1303,15,43,14,-108.142325581395,-5.33348837209302
Katian,1310,46,313,25,-115.12945686901,-11.7013738019169
Katian,1311,14,59,11,-108.295254237288,-6.13440677966102
Katian,1319,26,45,11,-117.008,-16.182
Katian,1320,5,7,3,-109.63,-10.74
Katian,1329,46,932,365,-114.009753218884,-17.3353540772532
Katian,1330,28,52,5,-107.5775,-13.2517307692308
Katian,1337,27,233,82,-116.217424892704,-19.3414592274678
Katian,1338,25,63,11,-107.097142857143,-15.1195238095238
Katian,1346,19,87,22,-118.076551724138,-23.3175862068966
Katian,1347,37,142,24,-111.040352112676,-19.0992253521127
Katian,1348,38,329,26,-106.198662613982,-15.5837689969605
Katian,1356,36,1592,433,-113.752631909548,-23.4641896984925
Katian,1357,33,127,55,-107.388897637795,-19.7744094488189
Katian,1358,1,1,1,-100.01,-13.92
Katian,1364,20,91,17,-115.504175824176,-26.8343956043956
Katian,1365,25,611,186,-111.777577741408,-25.0532896890344
