stage,n_raw,n_standardized,region,retention,target_mst_km,target_method
Aeronian,257,257,Laurentia,1,9148.462,q0.75_bins_ge_30_occ
Hirnantian,336,336,Laurentia,1,9148.462,q0.75_bins_ge_30_occ
Katian,6470,6042,Laurentia,0.933848531684699,9148.462,q0.75_bins_ge_30_occ
Rhuddanian,187,187,Laurentia,1,9148.462,q0.75_bins_ge_30_occ
Sandbian,2974,2974,Laurentia,1,9148.462,q0.75_bins_ge_30_occ
Telychian,765,765,Laurentia,1,9148.462,q0.75_bins_ge_30_occ
Aeronian,370,370,Baltica,1,3424.464,q0.75_bins_ge_30_occ
Hirnantian,777,777,Baltica,1,3424.464,q0.75_bins_ge_30_occ
Katian,1825,1668,Baltica,0.913972602739726,3424.464,q0.75_bins_ge_30_occ
Rhuddanian,771,771,Baltica,1,3424.464,q0.75_bins_ge_30_occ
Sandbian,1460,1460,Baltica,1,3424.464,q0.75_bins_ge_30_occ
Telychian,31,31,Baltica,1,3424.464,q0.75_bins_ge_30_occ
Aeronian,2,2,Siberia,1,4927.267,q0.75_bins_ge_30_occ
Hirnantian,0,0,Siberia,,4927.267,q0.75_bins_ge_30_occ
Katian,263,249,Siberia,0.946768060836502,4927.267,q0.75_bins_ge_30_occ
Rhuddanian,153,153,Siberia,1,4927.267,q0.75_bins_ge_30_occ
Sandbian,176,176,Siberia,1,4927.267,q0.75_bins_ge_30_occ
Telychian,26,26,Siberia,1,4927.267,q0.75_bins_ge_30_occ
Aeronian,157,157,South_China,1,2825.609,q0.75_bins_ge_30_occ
Hirnantian,420,420,South_China,1,2825.609,q0.75_bins_ge_30_occ
Katian,549,547,South_China,0.996357012750455,2825.609,q0.75_bins_ge_30_occ
Rhuddanian,175,175,South_China,1,2825.609,q0.75_bins_ge_30_occ
Sandbian,16,16,South_China,1,2825.609,q0.75_bins_ge_30_occ
Telychian,961,961,South_China,1,2825.609,q0.75_bins_ge_30_occ
Aeronian,24,24,Gondwana_west,1,1856.386,q0.75_bins_ge_30_occ
Hirnantian,235,235,Gondwana_west,1,1856.386,q0.75_bins_ge_30_occ
Katian,1069,1048,Gondwana_west,0.980355472404116,1856.386,q0.75_bins_ge_30_occ
Rhuddanian,1554,1554,Gondwana_west,1,1856.386,q0.75_bins_ge_30_occ
Sandbian,180,180,Gondwana_west,1,1856.386,q0.75_bins_ge_30_occ
Telychian,0,0,Gondwana_west,,1856.386,q0.75_bins_ge_30_occ
Aeronian,46,46,Gondwana_east,1,1535.061,q0.75_bins_ge_30_occ
Hirnantian,56,56,Gondwana_east,1,1535.061,q0.75_bins_ge_30_occ
Katian,156,156,Gondwana_east,1,1535.061,q0.75_bins_ge_30_occ
Rhuddanian,0,0,Gondwana_east,,1535.061,q0.75_bins_ge_30_occ
Sandbian,113,111,Gondwana_east,0.982300884955752,1535.061,q0.75_bins_ge_30_occ
Telychian,0,0,Gondwana_east,,1535.061,q0.75_bins_ge_30_occ
