stage,mst_l,gcd_mx,cha,chl,lat_mn,lat_q1,lat_md,lat_q2,lat_mx,lng_mn,lng_q1,lng_md,lng_q2,lng_mx,lat_r,lng_r,region
Sandbian,8071.98153965226,3879.87700032552,3351470.84687408,0.627128772798897,-23.26,-19.92,-19.63,-17.82,-9.24,-124.2,-116.92,-114.44,-112.36,-92.1,14.02,32.1,Laurentia
Katian,9137.30074781552,3159.17951971247,3854801.03587144,0.907442612032739,-27.13,-24.76,-19.93,-17.34,-5.04,-123.1,-114.49,-112.51,-110.24,-92.06,22.09,31.04,Laurentia
Hirnantian,5456.03960429501,3566.17630952521,3606025.38474975,0.49986149684141,-26.5,-21.11,-20,-19.82,-11.08,-121.83,-114.13,-91.66,-91.13,-89.92,15.42,31.91,Laurentia
Rhuddanian,7996.85719987749,4306.32685468721,6046739.734763,0.769015301591847,-30.05,-23.485,-20.96,-20.625,-6.52,-128.16,-110.06,-90.84,-88.56,-87.91,23.53,40.25,Laurentia
Aeronian,9310.51124034784,4354.83895880928,9174825.56591566,0.638004544278402,-34.84,-27.67,-27.65,-22.02,3.37,-126.35,-104.61,-98.05,-97.38,-86.98,38.21,39.37,Laurentia
Telychian,8662.31398163727,3927.06355847549,6635528.45606746,0.736946711659538,-35.24,-27.09,-18.42,-18.41,1.62,-122.16,-102.08,-93.39,-92.13,-91.43,36.86,30.73,Laurentia
Sandbian,3099.54548936841,1576.42345074942,651521.69885437,0.638964375817336,-33.48,-29.64,-28.68,-28.1,-24.2,-69.82,-66.05,-60.88,-59.6875,-56.13,9.28,13.69,Baltica
Katian,3535.96552216928,1529.45270655013,842621.616947615,0.442781619228085,-33.17,-28.57,-27.495,-26.1775,-23.17,-70.56,-63.91,-59.66,-58.67,-55.2,10,15.36,Baltica
Hirnantian,3532.77056281847,1738.99749711158,1022358.3040206,0.395229939193509,-28.25,-24.82,-24.1,-23.37,-19.4,-63.52,-61.52,-56.57,-55.84,-48.31,8.85,15.21,Baltica
Rhuddanian,2656.61907418123,1466.80081044133,649833.803239488,0.468220303622618,-23.23,-21.86,-18.89,-18.04,-16.91,-63.72,-61.41,-60.83,-53.92,-53,6.32,10.72,Baltica
